price,likes,tips,photos,ratingSignals,rating,Restaurant_Class
1,29.0,1,90,32.0,8.9,1
1,22.0,2,13,24.0,8.6,1
1,24.0,1,27,33.0,7.3,1
1,0.0,0,6,0.0,8.3,1
1,1.0,0,16,1.0,8.1,1
2,8.0,6,10,9.0,7.8,1
1,1.0,0,0,1.0,6.7,1
1,2.0,1,12,7.0,6.3,1
1,4.0,0,12,4.0,8.0,1
1,17.0,1,57,20.0,8.2,1
1,12.0,2,18,15.0,7.8,1
2,3.0,2,3,3.0,7.6,1
1,0.0,0,1,0.0,7.3,1
1,10.0,1,14,13.0,7.5,1
1,8.0,0,8,8.0,7.8,1
1,23.0,3,9,35.0,7.0,1
1,12.0,4,1,13.0,7.6,1
1,3.0,0,1,3.0,6.6,1
1,3.0,1,5,14.0,4.9,1
1,162.0,37,1171,187.0,8.9,1
1,80.0,1,42,109.0,8.1,1
1,23.0,7,63,28.0,8.3,1
1,125.0,22,53,151.0,8.5,1
1,12.0,1,12,19.0,6.7,1
1,20.0,12,8,31.0,6.8,1
1,6.0,1,1,14.0,5.9,1
1,0.0,0,1,0.0,6.6,1
1,7.0,0,10,15.0,5.6,1
3,12.0,7,44,20.0,6.5,1
1,5.0,2,32,10.0,6.2,1
1,88.0,36,532,107.0,8.9,1
1,3.0,0,1,6.0,6.6,1
1,5.0,0,1,9.0,6.8,1
1,17.0,2,4,27.0,6.7,1
1,8.0,0,0,9.0,7.3,1
1,27.0,5,29,35.0,7.7,1
1,7.0,1,1,13.0,6.5,1
2,8.0,0,5,16.0,6.2,1
1,24.0,2,6,27.0,8.6,1
1,14.0,0,9,14.0,8.6,1
1,8.0,5,4,9.0,7.7,1
1,193.0,32,164,224.0,8.8,1
1,15.0,1,11,16.0,8.5,1
1,106.0,48,130,141.0,8.3,1
1,0.0,0,0,1.0,7.2,1
1,16.0,0,11,21.0,7.4,1
2,6.0,3,3,8.0,6.6,1
1,10.0,0,16,13.0,7.4,1
1,6.0,1,15,8.0,6.6,1
1,10.0,5,4,15.0,6.7,1
1,17.0,8,31,24.0,7.5,1
1,92.0,10,149,109.0,8.6,1
2,18.0,2,64,27.0,7.0,1
1,21.0,1,11,24.0,8.1,1
1,7.0,1,0,11.0,6.7,1
1,5.0,2,8,6.0,7.5,1
2,11.0,2,16,14.0,7.3,1
1,4.0,0,1,8.0,5.6,1
2,2.0,0,1,10.0,5.0,1
1,7.0,3,10,8.0,7.8,1
1,16.0,1,3,23.0,7.4,1
1,22.0,0,9,23.0,8.9,1
1,107.0,6,74,114.0,9.3,1
1,42.0,8,26,49.0,8.5,1
1,22.0,2,29,45.0,5.9,1
3,17.0,2,3,24.0,7.6,1
1,3.0,0,2,6.0,6.5,1
1,8.0,2,10,10.0,7.3,1
1,178.0,51,1418,200.0,9.3,1
1,51.0,11,56,70.0,7.9,1
1,19.0,5,35,20.0,8.6,1
1,27.0,2,18,32.0,8.2,1
1,11.0,2,11,14.0,7.6,1
1,29.0,4,34,32.0,9.1,1
1,20.0,9,23,27.0,7.6,1
1,27.0,2,11,32.0,8.1,1
1,11.0,5,34,13.0,8.0,1
1,13.0,2,15,16.0,7.4,1
1,36.0,1,19,56.0,6.3,1
1,12.0,2,14,24.0,5.9,1
1,27.0,6,9,41.0,6.8,1
2,10.0,0,7,18.0,6.3,1
4,6.0,0,2,8.0,7.2,1
1,14.0,3,30,16.0,7.7,1
2,34.0,3,7,44.0,7.8,1
1,6.0,1,6,8.0,7.3,1
1,24.0,1,36,34.0,7.3,1
1,0.0,0,8,0.0,8.3,1
1,348.0,54,423,429.0,8.8,1
1,5.0,2,3,8.0,6.8,1
1,17.0,9,197,20.0,8.4,1
1,7.0,2,12,8.0,7.8,1
1,86.0,17,149,108.0,8.6,1
1,8.0,1,31,8.0,8.1,1
1,4.0,1,7,8.0,6.4,1
1,26.0,6,98,29.0,9.2,1
2,2.0,0,2,2.0,7.6,1
